"project_id","ENSG00000092199","ENSG00000143889","ENSG00000139624","ENSG00000109381","ENSG00000064703","ENSG00000167528","ENSG00000100811","ENSG00000092330","ENSG00000135482","ENSG00000160785","ENSG00000166887","ENSG00000204231","ENSG00000198700","ENSG00000141646","ENSG00000120709","ENSG00000129071","ENSG00000103343","ENSG00000135297","ENSG00000132305","ENSG00000198612","ENSG00000145216","ENSG00000085832","ENSG00000151576","ENSG00000109606","ENSG00000119979","ENSG00000144848","ENSG00000131966","ENSG00000144580","ENSG00000169057","ENSG00000114416","ENSG00000143393","ENSG00000158290","ENSG00000091542"
"TCGA-OV",28621,3278,3553,4432,1330,2551,11471,3238,598,3503,2971,3435,15023,5653,2848,2922,395,1225,4713,4319,912,5122,1764,7061,1415,3596,3019,7446,6065,10000,5677,3782,4672
"TCGA-OV",15245,1107,1834,576,411,1560,3277,2392,349,1555,2889,2411,4534,1547,2031,1021,468,524,3157,1530,166,1625,622,3014,656,1346,1318,1817,2557,1988,5593,1825,3775
"TCGA-OV",26180,3735,6206,2321,1703,2496,11507,3955,781,4302,9196,5274,7780,4714,4843,3798,897,1141,7384,6385,653,3429,2295,8369,1459,5428,4531,5277,9836,6042,9518,4747,8845
"TCGA-OV",12687,886,1022,899,609,688,4409,764,129,1286,908,785,3703,876,601,1003,169,461,1654,1527,433,1718,653,1753,436,1436,688,1498,1137,4887,1389,1107,1851
"TCGA-OV",50466,2589,7447,980,916,3435,9001,2524,786,2442,3467,3153,6971,1691,1558,3300,1106,590,4956,4805,675,2047,1216,4902,1838,4429,3149,4200,2920,8804,5485,1903,9444
"TCGA-OV",21116,2097,3412,1635,1051,1578,8813,3041,464,2665,2193,3631,5396,1582,3602,2977,668,697,6470,3932,555,2990,1407,4607,1023,6773,3888,3271,6259,10603,6726,2734,5154
"TCGA-OV",20186,2307,3069,601,1361,1302,5936,3013,745,2279,3440,3696,7343,1259,1327,1793,556,536,4284,4302,347,1183,890,4025,538,3639,1546,2794,960,6197,5148,1074,3594
"TCGA-OV",30611,4291,2193,1321,1418,1676,13641,1855,405,1537,1799,2439,5282,2636,2475,2085,502,463,4066,5853,472,2607,1330,4487,1179,3673,3946,3519,2191,8639,3214,2005,4384
"TCGA-OV",29057,2647,2503,1596,1645,1829,10127,3247,531,2191,4675,2692,7467,5701,3061,4396,806,1275,6242,4656,569,5856,1912,6883,1757,6373,2281,4093,4206,9908,4128,4070,6508
"TCGA-OV",30558,3293,3013,1728,1442,1040,8832,2351,531,2501,4106,2947,8483,1955,2874,2893,584,831,6984,7799,1321,2061,1907,10600,1382,4226,2103,4532,4039,8452,4784,4793,5616
"TCGA-OV",52467,4228,4011,3208,1742,3467,9714,4682,761,3930,6203,3793,15052,5621,6013,6850,1056,1731,8870,5583,1080,3795,1950,15348,1712,5012,2567,9197,6532,13478,7319,4687,9184
"TCGA-OV",30771,3175,4345,2011,2601,2452,23893,2912,601,5418,4863,4377,11385,4134,4772,6780,968,1345,4730,6192,637,7297,4006,5593,1690,7592,5827,4508,9245,14944,13690,6450,6395
"TCGA-OV",31947,3422,3062,2786,1319,2504,12729,3144,510,2579,2445,1836,6370,2829,2433,2103,805,619,5343,4753,975,3199,1812,8524,1012,3448,3399,3407,4259,7408,5520,5045,5330
"TCGA-OV",12137,1475,2427,1567,530,1255,3976,1504,313,1259,1963,1838,3435,1886,1780,2164,282,555,2619,1680,500,2120,617,4647,426,1351,1124,2085,2784,6410,3151,1992,2762
"TCGA-OV",17742,1415,1466,1008,1210,726,9146,2061,199,2472,1507,1679,11463,1676,1576,1478,346,579,3756,785,480,2273,725,2190,947,3302,1511,1078,3822,2667,5626,1020,3381
"TCGA-OV",17277,1367,948,754,532,351,6020,1792,193,819,1424,2732,6240,2093,801,1375,492,519,2046,4203,672,1276,916,2692,597,1886,1435,2473,1796,7058,3018,1380,3017
"TCGA-OV",21517,2457,2552,2245,979,3911,6499,2139,443,2982,3451,3125,7186,4259,2184,5902,988,1138,5025,3761,783,2777,1348,7433,800,3616,2072,3553,4501,4701,7446,4829,7565
"TCGA-OV",36118,2772,2739,2591,2366,3670,15571,3831,630,4093,5442,1478,4979,2835,3361,1682,1072,1411,4421,4208,1230,2582,1074,5978,1711,2088,3175,6121,4628,11727,7887,3439,5786
"TCGA-LUAD",28726,3955,2445,2097,975,883,7605,4539,360,2452,5010,2950,8517,3795,2483,2573,356,656,6995,6119,861,4408,2045,12995,1614,2417,4362,4123,2546,7817,5218,5696,3728
"TCGA-LUAD",16423,1562,1234,1219,509,704,5761,2967,234,2054,1624,1620,3672,3528,1795,992,408,424,4065,1419,330,1668,523,5632,413,1014,4085,1369,1192,3409,2508,1675,3177
