"project_id","ENSG00000107625","ENSG00000141644","ENSG00000160058","ENSG00000111361","ENSG00000136682","ENSG00000110696","ENSG00000198060","ENSG00000160785","ENSG00000186001","ENSG00000125779","ENSG00000166170","ENSG00000163374","ENSG00000169180","ENSG00000035928","ENSG00000143971","ENSG00000120709","ENSG00000101654","ENSG00000100461","ENSG00000187866","ENSG00000137764","ENSG00000166716","ENSG00000105879","ENSG00000144848","ENSG00000114416","ENSG00000091542"
"TCGA-OV",2091,5269,6188,3784,1333,6646,2154,3503,4777,2616,5047,3411,6282,3764,1371,2848,3784,7839,2093,820,2644,2593,3596,10000,4672
"TCGA-OV",1450,1688,4536,1595,417,3626,1476,1555,1588,1040,1170,2201,3553,753,375,2031,2114,13786,643,1058,4462,583,1346,1988,3775
"TCGA-OV",2754,6016,11254,6465,1351,13046,2954,4302,3745,3434,4713,4643,9958,2637,1058,4843,4764,7649,2479,2261,6128,2510,5428,6042,8845
"TCGA-OV",852,1184,1520,1377,192,3177,2050,1286,1518,490,1624,1017,2439,1215,279,601,925,1223,408,200,735,706,1436,4887,1851
"TCGA-OV",4053,1776,6522,4794,666,8727,2790,2442,3251,2220,3130,3051,7141,1729,678,1558,2778,26682,1524,1554,3716,1739,4429,8804,9444
"TCGA-OV",1707,1442,8078,3409,776,9432,2235,2665,3790,2230,2750,3186,5747,1234,514,3602,5816,4024,877,1942,4999,1398,6773,10603,5154
"TCGA-OV",1153,1529,3817,5708,567,3507,1564,2279,1428,1153,2021,2059,3480,1577,706,1327,3093,4687,557,985,3420,1364,3639,6197,3594
"TCGA-OV",2998,2433,3442,2853,992,11742,5886,1537,1633,1421,3802,1694,2758,1695,1065,2475,2382,2733,1018,503,1034,1684,3673,8639,4384
"TCGA-OV",1904,7268,11743,1988,772,5532,3757,2191,1506,1165,3289,2863,6737,3578,1325,3061,4638,4569,1556,1621,4850,2056,6373,9908,6508
"TCGA-OV",1734,2539,4481,4181,1262,11185,2836,2501,1703,4045,2896,2731,4323,4649,758,2874,2658,4275,1245,1636,3062,2282,4226,8452,5616
"TCGA-OV",4681,5586,14429,5154,1249,9079,6806,3930,3514,3042,6254,4306,11936,6065,2438,6013,4274,9343,869,1384,3093,3390,5012,13478,9184
"TCGA-OV",3517,4570,9343,6179,926,8119,5337,5418,4063,2746,8162,5079,9738,3173,991,4772,4511,7207,1974,1400,3480,3531,7592,14944,6395
"TCGA-OV",2978,2629,4730,4734,926,9800,3111,2579,2136,3040,5336,3341,7130,4237,1207,2433,2311,5383,1379,673,1640,2610,3448,7408,5330
"TCGA-OV",1198,1901,2871,2519,443,4618,1377,1259,2349,853,1650,1310,3757,2141,646,1780,1603,2291,617,410,2457,918,1351,6410,2762
"TCGA-OV",1009,1596,2197,2635,623,2235,1355,2472,814,581,2216,2131,4108,1868,277,1576,1464,4277,1166,484,1547,2338,3302,2667,3381
"TCGA-OV",1713,1583,1915,1276,489,4757,2607,819,1273,1157,1815,1373,5122,1633,428,801,3790,2302,683,470,1991,1189,1886,7058,3017
"TCGA-OV",887,4254,6164,4017,991,4564,2091,2982,1646,1528,2730,2564,6274,3235,945,2184,2965,4577,2541,624,1599,2163,3616,4701,7565
"TCGA-OV",3029,2967,3450,2123,698,12903,4672,4093,4644,3590,5965,5520,9449,2027,1451,3361,2661,5226,2652,1477,4994,2972,2088,11727,5786
"TCGA-LUAD",2601,2892,5205,4025,389,12321,3410,2452,1711,1789,3418,2626,6467,4779,1016,2483,2510,4509,931,942,2783,2576,2417,7817,3728
"TCGA-LUAD",1737,2799,2659,2163,266,5053,1955,2054,669,565,2070,1337,3318,2414,352,1795,2397,4771,652,261,1586,786,1014,3409,3177
"TCGA-LUAD",4625,6349,13416,6088,853,14518,4645,5727,3665,2657,6707,5511,15889,4363,1131,4096,4255,6619,1839,1134,2615,4713,5091,8986,6555
"TCGA-LUAD",3543,3935,12290,6651,1019,17445,5077,4837,3842,2880,6615,4324,10407,5179,1415,3960,5545,10628,1927,1356,4371,3109,4187,11712,8709
"TCGA-LUAD",1249,1298,2712,1441,291,4004,1649,2158,1144,950,1465,1864,3982,1306,376,848,1792,1501,874,403,1688,1087,1376,2664,3130
"TCGA-LUAD",1401,1406,2915,2059,271,4749,2305,1564,781,827,1741,1155,3360,2975,527,671,1471,2937,785,355,1308,790,1868,2611,2746
"TCGA-LUAD",1534,2122,5228,3091,378,6892,3507,2950,1632,1510,2461,2930,4923,4269,595,1677,3548,2865,1161,592,2541,2119,2392,6993,3986
"TCGA-LUAD",4131,3008,6840,2899,727,10272,4712,4318,1577,2134,3922,3150,6681,2736,714,2121,5189,5375,1306,1055,2621,1914,3381,7275,5378
"TCGA-LUAD",4043,4524,9641,5690,775,10831,5515,4406,3291,2064,4976,4554,12048,5929,1595,3427,3776,7429,1966,1465,4806,2949,5563,11100,9167
"TCGA-LUAD",721,900,3189,1599,365,4054,1038,3141,392,407,1370,2085,2761,1350,290,409,828,2068,535,497,1343,794,837,1580,1833
"TCGA-OV",2617,3079,3671,7004,775,8355,3262,2277,1968,1165,2223,3961,10274,2670,1115,5288,4171,8494,1038,1643,8626,2132,2067,6993,4091
"TCGA-OV",2681,8243,17584,10481,1868,12832,5440,4128,3926,3932,4306,5647,14517,3691,2020,3203,4924,12165,3320,3048,8196,2830,8277,9957,15659
"TCGA-OV",1715,2732,5856,3000,868,5971,2259,3273,650,1710,2187,4914,5095,1528,645,1889,2121,6645,1195,718,4286,1537,3703,4525,3956
"TCGA-OV",2305,6352,7242,6542,1801,11858,5288,4638,4972,4174,2850,5204,15629,4168,1930,4086,5582,8027,1423,3029,6366,1766,3806,9846,7413
"TCGA-OV",3217,4115,5182,4187,895,9852,3837,2256,1313,2994,2342,5405,5537,1676,1012,2350,3241,3287,1147,1469,3001,1149,4842,5172,4519
"TCGA-OV",3095,6398,4035,3231,1911,12429,5369,3888,3625,3233,13811,5851,15853,3237,2190,6476,5591,8927,2301,2578,8836,3849,5216,13480,6057
"TCGA-OV",5064,4507,6407,3527,1444,14445,3138,2079,2272,1937,3881,2417,4562,3407,2071,743,2261,4737,943,820,2194,2592,6128,9879,2099
"TCGA-OV",1730,4422,8469,2653,1448,7420,5824,2815,1452,1420,3135,4111,10824,7883,1985,5090,2130,7676,2403,1674,4769,3738,3828,8049,5444
"TCGA-OV",1792,4079,4304,2425,967,10142,3664,3604,2713,1460,6058,4462,8347,2804,1218,3069,4447,6921,2136,723,3001,2062,3828,11450,6583
"TCGA-OV",2747,2303,4265,3758,1221,11111,4085,1804,3352,1479,5087,3723,6516,2079,1110,2713,4683,8884,1981,2315,4226,3246,2992,8773,5709
"TCGA-OV",6144,6315,8064,6732,2029,10339,7677,5522,5348,3641,4913,6706,14782,9222,3437,6691,9381,13854,1999,1450,18485,4409,4818,18358,16582
"TCGA-OV",4791,3299,4964,3844,1535,16861,5850,3200,3117,4169,4895,4609,7667,4031,1061,5226,1423,6228,2266,1369,5017,2943,15920,13827,5851
"TCGA-OV",3653,1567,9424,3995,684,19873,5258,1998,3188,736,1561,2133,4405,2865,1396,3294,2908,2804,1242,1190,2694,1523,3715,12213,4695
"TCGA-OV",4325,2177,12109,4797,1495,20751,4347,6649,5404,3387,6989,9675,15862,3998,1370,5197,5513,7866,2161,1219,5959,3783,10200,16843,17158
"TCGA-OV",1681,1108,2843,2226,489,5734,1537,2036,1535,544,1870,2043,5492,1744,999,2064,4163,4683,719,551,3052,1510,765,4173,3271
"TCGA-OV",3066,1497,4367,4704,423,13947,4320,3075,1126,1901,2094,5180,5694,2907,1429,1220,2468,4343,1722,1547,2271,2523,3634,5974,5552
"TCGA-OV",4918,3435,9757,9850,1192,15302,5079,4022,2816,2582,4812,3736,14153,6495,1881,3621,4063,10074,2050,1427,3439,2861,3586,9513,10184
"TCGA-OV",1059,903,2209,1975,297,4211,1065,674,864,670,1331,1043,2072,908,587,709,1118,2206,605,575,919,861,951,2966,1812
"TCGA-OV",1998,1351,2114,1113,638,4214,3555,1449,2905,741,3254,2135,2844,1318,386,4488,2965,5767,1323,1049,2409,1952,1117,8092,2688
"TCGA-OV",3302,2429,9438,9368,1270,22782,7168,4018,1567,2053,13244,3331,14146,3756,1435,1985,1625,6549,1900,1975,4619,2752,6703,8293,12085
"TCGA-OV",1393,2288,3768,2207,774,9091,2784,2044,2447,1076,2499,2371,3623,1555,768,1545,1380,3842,1227,564,2431,1603,5438,12146,2300
"TCGA-OV",2472,4306,8455,5895,1030,13176,4627,7372,3035,1624,4291,4894,11567,3139,1607,3240,2963,6208,2042,3399,6512,1549,8540,12479,8338
"TCGA-OV",717,738,847,695,283,2345,1329,784,555,351,2676,944,2170,1068,403,861,1466,2698,467,505,1513,433,1325,2085,1365
"TCGA-OV",1326,2224,3188,2200,387,8384,1295,934,662,1008,721,1081,2317,1254,1062,789,1878,1985,280,1005,2203,1065,1855,2676,2870
"TCGA-OV",1665,1571,3395,1294,728,5555,1156,1211,1456,1704,2201,1991,3066,1871,572,2617,1146,1943,976,797,2484,990,1794,3488,2543
"TCGA-OV",1415,2466,3266,1597,538,3360,1723,1313,1560,1297,1404,1554,5076,1133,765,1472,1393,3075,973,459,1667,884,5106,4531,2863
"TCGA-OV",1926,1948,4048,3116,449,7415,2130,2347,2193,2513,1454,2986,2669,990,322,1886,1356,5099,650,893,2807,824,3590,4467,2633
"TCGA-OV",1981,1437,2874,2123,259,5402,2322,1890,1614,957,771,2268,2767,2222,378,1691,722,5378,665,873,1553,1276,2193,3161,2275
"TCGA-OV",2945,3039,6562,8181,1614,11341,4008,4847,2099,4553,2064,7880,12918,4102,1002,7724,3592,7862,4215,907,2550,3326,8680,6523,4159
"TCGA-OV",2476,5215,3690,2107,1331,7142,2671,2521,2015,1383,5420,3772,7433,1289,723,1222,3652,5220,377,784,3569,1500,5455,5649,11306
"TCGA-OV",975,631,919,1247,312,2075,853,550,309,627,1249,765,3276,535,282,689,364,1324,507,420,1349,548,2127,1875,1786
"TCGA-OV",2134,2495,6114,4627,1010,3330,3212,2299,1684,1571,3199,6418,8260,2984,1367,2724,2404,4264,807,1820,5485,2411,3808,5611,4142
"TCGA-OV",1378,1730,4257,5593,789,7455,1939,2443,2126,1409,2652,2577,4343,2463,1334,3466,2250,5815,1129,1109,4902,1856,2148,9066,8430
"TCGA-OV",1014,1055,2198,3274,358,2813,1369,1118,1173,918,1435,1190,3841,878,415,868,705,2141,309,904,1753,482,2944,3453,1449
"TCGA-OV",2472,3009,2326,2470,659,7968,2844,2321,1915,1199,4177,3822,5779,2496,776,2032,3449,7547,1531,1574,2833,1773,2213,5454,5334
"TCGA-OV",1281,1476,2741,1299,569,4747,1543,897,2431,978,1636,1199,2956,1602,508,1694,1286,1982,615,389,1298,1362,2670,7201,1803
"TCGA-OV",1399,1864,2130,1721,437,7203,1566,1363,1046,1477,3248,2248,3439,888,347,1591,2428,2566,571,669,3262,1202,1922,4758,1981
"TCGA-OV",1055,1870,5777,2061,1113,12538,1794,2113,1385,2639,3389,2134,3621,2350,1014,2037,2135,4256,1097,979,2118,1352,5791,4107,5463
