"project_id","ENSG00000168066","ENSG00000092199","ENSG00000152795","ENSG00000109332","ENSG00000168385","ENSG00000089597","ENSG00000084090","ENSG00000029363","ENSG00000075785","ENSG00000183283","ENSG00000198700","ENSG00000115234","ENSG00000086758","ENSG00000119335","ENSG00000157954","ENSG00000084754","ENSG00000182944","ENSG00000061676","ENSG00000174243","ENSG00000169410","ENSG00000114416","ENSG00000138674"
"TCGA-OV",12962,28621,11953,8436,24395,17792,10629,7180,20620,12755,15023,6883,23423,30261,4223,9153,11483,11125,7607,2627,10000,7630
"TCGA-OV",11058,15245,3406,3951,9610,21305,4163,2541,7985,8251,4534,4176,24555,8799,3897,6020,9363,5370,4098,2704,1988,6182
"TCGA-OV",27702,26180,21000,18248,25908,46168,12587,7353,30373,32187,7780,11450,38069,45086,11573,17414,16262,10678,8593,5247,6042,17494
"TCGA-OV",4076,12687,6161,9163,8529,8185,3034,2927,14253,5458,3703,2476,4741,9854,2130,3648,3008,4978,1653,735,4887,10608
"TCGA-OV",14893,50466,11888,6370,27657,27086,7802,5503,23066,34102,6971,10740,28638,21374,6903,12655,16006,10716,10928,3073,8804,9096
"TCGA-OV",18249,21116,11897,10328,19985,47140,8212,4509,22627,14911,5396,5768,26272,19078,7732,11493,11253,8453,4231,3692,10603,13653
"TCGA-OV",6452,20186,5272,3918,10941,15881,5108,2695,14999,8114,7343,8545,8066,12874,3709,12042,3943,5109,4508,1058,6197,7156
"TCGA-OV",11391,30611,11287,10158,29599,24084,8345,4123,22539,6938,5282,6999,9934,14387,5349,16811,4895,11812,3126,1648,8639,8601
"TCGA-OV",13999,29057,8078,10648,24223,31529,8488,5284,32581,15137,7467,5993,18830,29190,5592,13534,8825,14422,7237,5724,9908,12975
"TCGA-OV",16185,30558,13496,14102,30898,28965,9209,7025,31065,10251,8483,11053,6701,22855,9223,15311,12657,8266,6291,2084,8452,11714
"TCGA-OV",26304,52467,16432,25560,31194,60457,14938,10556,49547,28214,15052,11406,30530,45817,9523,13338,15124,17835,11915,2996,13478,17574
"TCGA-OV",15793,30771,13210,10467,39200,26199,11263,11603,49500,32997,11385,6834,28929,20944,7968,11589,20455,32013,7361,2864,14944,14539
"TCGA-OV",16316,31947,10354,19394,24874,24079,10034,4724,23777,13298,6370,6970,23449,14389,8255,13933,6187,11113,6259,2419,7408,16239
"TCGA-OV",8436,12137,6536,6073,8527,18861,4319,4263,15565,7888,3435,3798,8608,13975,2074,4730,8091,5178,4957,1416,6410,5753
"TCGA-OV",7660,17742,2517,3891,10235,12595,8705,4789,16330,10201,11463,2974,10503,16007,1851,3904,6780,14483,4017,1440,2667,5368
