"project_id","ENSG00000169714","ENSG00000168385","ENSG00000089597","ENSG00000111540","ENSG00000153187","ENSG00000086758","ENSG00000078369","ENSG00000114978","ENSG00000119335","ENSG00000115524"
"TCGA-OV",17583,24395,17792,16789,39499,23423,17291,10018,30261,22811
"TCGA-OV",10371,9610,21305,8635,9577,24555,16030,5337,8799,5079
"TCGA-OV",31157,25908,46168,25337,18174,38069,41975,14419,45086,12227
"TCGA-OV",12678,8529,8185,6045,10068,4741,6319,6109,9854,4821
"TCGA-OV",23810,27657,27086,35715,16000,28638,28945,15626,21374,8807
"TCGA-OV",30283,19985,47140,13259,13289,26272,33345,10109,19078,6664
"TCGA-OV",15723,10941,15881,7722,11974,8066,14044,6009,12874,7686
"TCGA-OV",21225,29599,24084,13296,19130,9934,13035,14426,14387,15405
"TCGA-OV",33628,24223,31529,18256,23263,18830,27389,23308,29190,13341
"TCGA-OV",25388,30898,28965,10611,26609,6701,17592,15300,22855,13480
"TCGA-OV",41494,31194,60457,31740,38775,30530,44881,20616,45817,19722
"TCGA-OV",49390,39200,26199,26144,47063,28929,28934,16447,20944,28983
"TCGA-OV",23900,24874,24079,23988,27051,23449,11725,17274,14389,14679
"TCGA-OV",14824,8527,18861,10899,15751,8608,23436,5461,13975,7514
"TCGA-OV",11636,10235,12595,11698,14985,10503,5854,8632,16007,6683
"TCGA-OV",17513,16778,14852,6040,16456,5336,10863,5472,14466,7388
"TCGA-OV",16082,31470,24737,29441,17440,18635,20696,16386,21218,11460
"TCGA-OV",15329,25406,42332,19188,25147,22447,17517,11379,35381,13594
"TCGA-LUAD",24719,36656,32628,8868,30940,21555,26869,16477,16447,18298
"TCGA-LUAD",9748,13930,15446,5194,12659,8287,12024,4450,6045,8208
"TCGA-LUAD",45030,67283,55340,18268,37397,28603,38213,18650,32518,32356
"TCGA-LUAD",31934,51946,72758,26889,50271,26829,72298,17985,21953,26238
"TCGA-LUAD",6505,19560,12197,6101,24518,7494,12566,5651,9499,9460
"TCGA-LUAD",11363,15220,19441,6418,19674,10785,14560,6373,10931,9954
"TCGA-LUAD",20292,19413,18848,9774,31081,42143,29872,10620,28047,16589
"TCGA-LUAD",19066,45707,26721,19464,28740,13007,32185,12495,19519,16186
"TCGA-LUAD",47159,39935,54919,21046,40079,22521,33312,21234,32300,26620
"TCGA-LUAD",5284,12839,13290,6108,15694,8519,12064,3953,5200,6222
"TCGA-OV",28914,22134,43736,5536,23290,26675,25781,9385,27398,13752
"TCGA-OV",59672,39879,21962,36029,25509,59329,78875,27267,44626,19771
"TCGA-OV",28135,22095,41543,12628,18452,12622,18469,9406,20963,8691
"TCGA-OV",22143,25383,75865,11322,22154,26266,67878,8507,27077,11546
"TCGA-OV",29687,28688,28381,15284,17132,12070,12363,2508,24940,12645
"TCGA-OV",28603,38719,56545,25986,45512,41306,20793,26075,27841,24322
"TCGA-OV",27398,26389,21120,10440,20196,7971,19154,32281,27058,14239
"TCGA-OV",32884,41127,37067,18643,30717,20965,16588,19200,28194,16604
"TCGA-OV",23986,17681,33342,24302,32994,28398,18795,17555,33290,16275
"TCGA-OV",36052,22754,25287,13264,25592,16819,21395,13718,21062,16124
"TCGA-OV",38031,44475,59362,35481,86069,63145,44377,32552,46555,35959
"TCGA-OV",59902,24435,44905,7694,41255,19395,59020,20713,18809,18444
"TCGA-OV",30506,36363,32043,10654,18804,11096,12089,9461,11788,21343
"TCGA-OV",43923,34289,37513,21203,47309,21745,85056,33206,27406,22102
"TCGA-OV",9774,17113,22696,7522,16163,23679,14972,12130,8689,11285
"TCGA-OV",24386,37440,27116,18791,16608,8752,15616,30582,11381,14229
"TCGA-OV",38787,43957,39684,23612,32877,21833,48512,14806,51125,17480
"TCGA-OV",10130,10886,10681,6702,7433,5694,6197,5380,7830,5072
"TCGA-OV",17210,13438,12648,12136,28302,17641,9617,8707,25176,8824
"TCGA-OV",32019,12970,36251,18464,29506,19914,44131,20487,36311,13989
"TCGA-OV",42011,20588,19979,7024,27596,10037,17831,10602,21840,11098
"TCGA-OV",27219,13979,77707,19426,23643,25809,33234,27074,39302,5552
"TCGA-OV",10697,5369,9781,4804,6893,5031,9326,3699,10247,3764
"TCGA-OV",10044,9779,15578,4568,11272,8864,16007,269,10555,6988
"TCGA-OV",14742,8358,14249,11035,10101,14507,14697,7486,16807,8644
"TCGA-OV",14030,8677,19197,10330,11499,10782,14884,3832,16313,6014
"TCGA-OV",15686,12159,20275,10461,12711,15434,14875,8425,11671,6601
"TCGA-OV",14132,13539,12368,4466,9186,17616,15879,3616,10456,7591
"TCGA-OV",30555,22819,72967,28703,32739,36121,42571,17552,29187,15575
"TCGA-OV",18707,13671,19334,15073,25795,12993,24172,10099,15553,11801
"TCGA-OV",6860,10562,7994,4311,4242,3670,7801,4582,4228,2454
"TCGA-OV",21488,15014,25713,12160,17526,17837,36249,11884,12257,14173
"TCGA-OV",17437,22628,19791,24902,26678,15483,18312,24089,24237,12106
"TCGA-OV",13873,10559,13335,9520,8471,7522,13838,4879,8036,6415
"TCGA-OV",14026,21881,23599,11189,23579,18577,12871,9912,21632,14390
"TCGA-OV",19210,21822,12768,13308,14912,11592,15138,8091,12558,7515
"TCGA-OV",15614,14413,16062,6549,14182,12135,7611,8137,14482,7078
"TCGA-OV",16785,24677,24534,14422,17116,15277,17752,8612,14649,11987
"TCGA-OV",11029,11061,17323,9395,11374,4496,10740,393,11563,4809
"TCGA-OV",13371,8392,20015,8558,10598,9046,15991,8860,11277,3361
"TCGA-OV",23298,11797,22060,21933,18895,33110,16889,19748,24170,19881
"TCGA-OV",40635,41676,34246,19492,26492,22016,23963,21224,43292,16057
