"project_id","ENSG00000106459","ENSG00000121774","ENSG00000168066","ENSG00000054118","ENSG00000144021","ENSG00000125944","ENSG00000120948","ENSG00000136527","ENSG00000083896","ENSG00000198218","ENSG00000165119","ENSG00000149187","ENSG00000114098","ENSG00000138375","ENSG00000136709","ENSG00000147274","ENSG00000092199","ENSG00000135829","ENSG00000089234","ENSG00000162613"
"TCGA-OV",1290,11068,12962,10434,5776,7657,5014,13574,4406,7906,31734,6900,2413,2973,5072,15626,28621,13676,1794,6588
"TCGA-OV",649,5862,11058,4894,2673,4309,2251,4566,2408,4030,9189,5367,979,1085,2152,5467,15245,6119,873,2757
"TCGA-OV",1965,16675,27702,9972,7479,9166,6857,13824,5372,12587,27674,9571,2563,2284,4555,15070,26180,12098,2304,6904
"TCGA-OV",409,4236,4076,3283,2337,3348,1982,4766,2916,1424,11490,2955,765,329,1055,6703,12687,4124,541,1724
"TCGA-OV",1070,12063,14893,5261,7974,7396,3973,10219,3035,7404,18333,6877,2878,2533,4000,16888,50466,9894,2205,5185
"TCGA-OV",807,12308,18249,5341,6004,6550,4785,11957,3018,5462,14954,8961,2347,2128,3548,10770,21116,7691,1783,4953
"TCGA-OV",588,9093,6452,3384,7465,4270,3166,6117,2541,2573,11496,3199,1833,1605,1979,7762,20186,5970,1137,3436
"TCGA-OV",654,11335,11391,6546,4553,6812,3882,8254,3223,3867,20616,8359,2043,1261,3812,16770,30611,7660,1293,6398
"TCGA-OV",995,14600,13999,11810,6393,6803,6429,10854,3886,6900,37691,9593,3258,1482,4649,15963,29057,10273,1352,7248
"TCGA-OV",1196,13337,16185,7948,8184,10753,5525,12199,5219,6036,31214,8635,2106,2290,4138,21542,30558,13833,1429,2805
"TCGA-OV",1518,20308,26304,13772,8311,16719,8606,20962,7214,5733,48938,14830,3484,2701,6160,25673,52467,17396,2292,14654
"TCGA-OV",1666,17422,15793,13817,6090,13116,7399,14430,5573,10762,34420,8961,4685,2383,3903,19078,30771,14124,3244,13809
"TCGA-OV",786,14171,16316,11726,5989,9196,3940,8473,6084,6346,21281,9311,2305,2113,4019,15781,31947,11029,2073,9189
"TCGA-OV",651,7525,8436,6248,2642,5214,3646,7296,2674,2971,16470,5966,1473,963,2267,8467,12137,5502,964,3890
"TCGA-OV",685,5805,7660,3996,5222,4749,2835,4319,2166,1938,19258,3933,1153,473,3404,9139,17742,7399,1773,1894
"TCGA-OV",534,5156,6832,4059,3600,4009,2683,4971,2428,1919,15123,3235,1349,1210,2354,8134,17277,5507,654,3541
"TCGA-OV",869,8723,13693,8128,5903,5719,3894,7113,4319,4684,27196,6344,2132,2185,4018,7924,21517,7864,1735,6083
"TCGA-OV",1289,9770,21343,8133,3555,9762,6396,17100,5871,8880,36921,11722,1430,1831,2875,19618,36118,10496,1020,9384
"TCGA-LUAD",993,11874,12916,8459,7389,7568,4163,8277,4093,5976,32341,5803,3024,2276,4585,11658,28726,10111,1574,6674
"TCGA-LUAD",640,4603,6002,3850,3458,4055,2018,4523,2587,2397,15626,2821,1098,638,2507,5398,16423,7035,824,2813
"TCGA-LUAD",2963,18577,22460,15051,10156,12334,6888,10676,5091,8170,55901,9933,4391,3893,7107,17602,37944,18751,3478,9007
"TCGA-LUAD",1602,19264,25984,14613,10285,14881,6501,11941,6590,6926,54115,12405,4258,3222,8639,15331,44991,20504,3302,14655
"TCGA-LUAD",580,5316,7080,4894,3978,4398,2447,2686,2168,2996,15206,4756,992,1110,2798,4551,8276,7218,1052,3020
"TCGA-LUAD",463,5616,7128,5246,3549,4332,2347,3315,2477,2083,17952,4893,1357,1123,3424,4472,14620,6976,1167,3151
"TCGA-LUAD",689,10014,8664,10819,3571,7934,3759,5235,3802,4547,27316,7331,1744,1059,4786,6449,19040,8396,1471,6555
"TCGA-LUAD",1049,11214,12431,8021,6018,8021,3979,7015,3410,4155,32600,4660,1905,1669,4599,10432,31750,13597,2226,5406
"TCGA-LUAD",1569,14668,23889,15651,8445,15756,5956,13961,7374,6975,53457,8727,4575,3323,6308,17048,49663,15851,2379,10984
"TCGA-LUAD",401,4792,7062,4698,2598,3600,2025,2281,1852,1470,12532,2733,610,887,1950,3752,9892,6015,937,1825
"TCGA-OV",1470,17216,21976,7608,5634,10742,4844,12719,4512,12048,22881,8617,2931,3021,4398,22290,37732,14967,2682,9534
"TCGA-OV",2496,22228,16509,16882,14747,10949,7670,16898,6832,11052,45332,11063,5646,3510,7431,21070,54992,16028,3649,15297
"TCGA-OV",705,9684,16050,6502,5129,6012,3025,7394,3158,4378,17280,4316,1947,1797,2602,13515,44019,8698,1208,4079
"TCGA-OV",1640,17382,25329,7891,9795,13958,6339,19048,3956,7992,30144,9279,2393,2421,5634,19807,42933,15659,1994,10713
"TCGA-OV",1074,13633,14578,4924,6882,6682,4524,10972,3867,4026,20941,5455,2278,2373,4521,22778,47311,12026,1125,6915
