"ENSG00000125618","ENSG00000112651","ENSG00000115468","ENSG00000175229","ENSG00000170370","ENSG00000182050","ENSG00000178919","ENSG00000119514","ENSG00000134490","ENSG00000136944","ENSG00000113946","ENSG00000149435","ENSG00000139865","ENSG00000164379","ENSG00000084628","ENSG00000070526","ENSG00000170439","ENSG00000168878","ENSG00000140067","ENSG00000198242","ENSG00000179241","ENSG00000163064","ENSG00000153822","ENSG00000176402","ENSG00000113430","project_id"
47272,646,2801,947,28042,4,13,1294,1238,744,31268,1,7,6873,54,2924,896,29,1124,23393,762,9,2229,3,0,"TCGA-OV"
11200,206,2121,200,4520,7,1,122,1189,1544,170,0,6,1252,50,1208,186,48,582,63567,959,0,134,0,0,"TCGA-OV"
51111,452,1986,7140,10958,57,208,1242,1121,709,21659,1,1,3613,47,1814,3473,37,1420,66954,1511,22,4274,7,2,"TCGA-OV"
10946,483,182,1,7220,3,13,166,234,262,791,0,25,1113,6,1311,378,5,75,12520,289,3,383,0,0,"TCGA-OV"
66115,1694,2530,637,15407,0,21,814,466,57,3608,1,56,4901,73,2474,15390,864,2674,216252,697,39,77,36,0,"TCGA-OV"
27060,1476,3755,999,13518,6,21,462,1355,1,47350,0,67,1885,133,1252,722,659,618,83590,2015,33,46,9,0,"TCGA-OV"
27191,1230,2008,1488,15761,28,6,269,681,1,2454,0,4,23,245,75,637,3,345,62110,1412,7,199,12,2,"TCGA-OV"
32040,950,473,1926,47524,1,1,444,658,41,1860,0,0,7017,22,244,2766,29,1308,109661,757,0,41,7,0,"TCGA-OV"
6298,1238,2367,69,15285,4,9,1066,1864,35,9757,5,0,7293,181,759,843,55,168,46452,2711,0,7,13,0,"TCGA-OV"
16129,1581,1304,718,11558,1,9,621,739,11,224,1,39,1527,94,1881,261,13,209,79811,2031,0,7,36,0,"TCGA-OV"
42172,1339,481,8,22322,0,9,1604,914,90,24653,1,48,1335,43,1329,2643,990,787,88302,1668,7,1355,1,1,"TCGA-OV"
45247,536,678,1859,24444,2,3,1085,559,23,11939,1,6,4836,44,767,2902,19,1117,34493,729,1,55,7,2,"TCGA-OV"
49179,339,1112,5030,45278,0,0,928,418,9,6230,0,0,4857,30,1384,1898,522,1815,43078,1519,0,31,65,0,"TCGA-OV"
28520,359,346,214,3161,3,28,440,394,8,8307,0,55,1991,30,1386,1318,28,190,13193,666,15,427,12,3,"TCGA-OV"
16696,821,273,1703,7419,5,0,1617,310,3,1856,0,5,3242,3,70,1050,36,237,19399,337,2,701,4,0,"TCGA-OV"
11531,498,1133,2,15120,0,17,448,1020,2,35546,0,0,6790,43,191,300,81,701,31160,739,0,0,2,0,"TCGA-OV"
31862,643,1580,2059,3688,1,13,629,900,5,3179,3,2,2344,17,2019,2211,49,779,17978,771,1,1907,24,0,"TCGA-OV"
13551,1099,1506,2,7951,5,2,690,2049,622,310,4,12,3672,60,4795,3211,5970,192,61452,1299,0,33,5,2,"TCGA-OV"
840,99,113,0,1,5,218,878,1007,11,17,84,50,1834,35,420,2445,108719,6,18993,1070,0,12,51,17,"TCGA-LUAD"
135,56,64,1,2,0,0,80,1875,34,0,28,359,1057,5,3036,1290,470917,5,5925,104,2,14,0,0,"TCGA-LUAD"
183,162,240,8,0,1,269,4609,1559,13,90,44,126,3712,374,1416,624,59621,1,15613,474,3,35,103,18,"TCGA-LUAD"
164,106,6578,1,0,32,706,3018,1435,10,251,1909,240,1615,23,17518,1594,101030,72,10968,919,1,42,11,1,"TCGA-LUAD"
61,23,386,1,1,2,261,548,872,96,28,322,94,1894,5,2434,549,69157,4,2677,280,2,19,3,1,"TCGA-LUAD"
171,40,266,0,2,1,0,317,697,51,7,2246,62,1855,16,2427,158,704481,1,5219,290,8,3,1,26,"TCGA-LUAD"
215,31,50,2,0,50,14,467,432,3,8,1671,78,978,4,102,1191,276031,0,5036,99,1,15,0,0,"TCGA-LUAD"
104,176,3839,0,1,3,493,1186,1026,87,129,7732,52,4309,38,3313,162,559517,66,12459,487,13,178,5,3,"TCGA-LUAD"
1170,161,1393,8,92,3,705,2660,1250,502,116,1797,83,1325,140,4216,1332,81426,12,13853,1010,13,126,10,823,"TCGA-LUAD"
116,36,92,0,1,2,24,1078,298,48,37,1235,56,612,17,8221,1144,27370,2,4032,135,16,1,3,0,"TCGA-LUAD"
224,421,296,133,2691,3,234,634,640,23,16,2,121,12982,1457,894,182,747,208,41132,1942,4,173,2,0,"TCGA-OV"
23902,857,874,224,7461,0,13,2514,789,308,4978,4,282,19087,43,5114,2584,164,1304,59592,1427,1,70,5,1,"TCGA-OV"
18653,979,409,317,7562,2,34,749,597,6,1765,0,0,13463,25,294,1395,24,1173,135639,924,0,34,2,1,"TCGA-OV"
4624,3260,672,2327,2316,4,10,1113,1681,35,84,0,44,932,525,83,564,46,53,47392,2655,1,13,1,0,"TCGA-OV"
34089,1332,343,20,14037,3,4,492,786,139,2037,0,2,3850,24,1701,2618,83,1842,265122,707,2,382,18,0,"TCGA-OV"
42468,802,831,958,20969,2,3276,876,1053,4,22688,0,1,9699,9,3925,3056,25,5271,59883,2015,3,102,12,0,"TCGA-OV"
31976,2260,324,31,6649,4,5,1936,598,3,6287,0,293,2267,12,3452,1035,2,251,36067,475,0,2091,135,0,"TCGA-OV"
16907,722,644,253,5894,0,5,1087,311,5,306,0,21,4003,23,902,3413,10,224,77502,1000,7,1075,14,0,"TCGA-OV"
21686,249,472,142,4065,9,1,1554,1046,13,18581,1,20,3612,28,3156,3931,104,435,11384,1105,112,132,0,1,"TCGA-OV"
17515,555,1435,3497,11286,0,8,843,685,0,15569,0,42,4104,66,1228,1924,10,1674,43956,1726,0,17,5,1,"TCGA-OV"
70056,972,1807,209,39870,77,89,858,1553,6808,478,0,285,585,1724,1995,534,8,1027,56069,5804,99,735,17,97,"TCGA-OV"
22226,1242,709,5,5947,0,8,1074,533,11,1551,2,4,1237,69,1449,1320,41,310,57775,1394,10,218,30,3,"TCGA-OV"
8520,1604,2219,320,14255,113,87,334,1297,203,1758,0,154,1016,843,256,338,3,136,124956,1820,264,322,26,0,"TCGA-OV"
17709,1152,3397,6,6850,1,7,466,1403,1684,134,2,122,11132,151,2481,1313,97,298,53245,4358,0,57,23,59,"TCGA-OV"
13898,390,935,1581,6173,71,0,201,350,3,23,2,0,30,149,163,140,5,507,15983,1954,10,1008,9,1,"TCGA-OV"
30886,521,880,35,8955,1,7,521,1078,4,19766,0,0,3897,7,4183,4478,5112,1409,241780,2157,1,60,3,1,"TCGA-OV"
67992,934,980,4806,38076,57,88,1917,719,84,7434,0,174,2693,357,118,4665,9737,5781,128404,1764,47,383,25,2,"TCGA-OV"
20885,173,1651,918,12312,3,0,169,2037,599,1317,0,16,240,14,188,1837,8,312,33171,822,0,34,2,0,"TCGA-OV"
22343,939,622,251,16160,1,3,1252,496,82,9677,0,1,3766,26,1309,1798,168,569,35444,545,3,177,4,1,"TCGA-OV"
21424,2290,1081,69,10457,0,0,3001,438,5,236,10,1,3468,197,4453,7561,35,3642,112634,2897,0,24,11,0,"TCGA-OV"
131,2393,5566,90,1753,6,19,536,981,206,21,0,2,7029,122,306,85,120,14,27895,1059,1,1,4,11,"TCGA-OV"
23949,1687,104,0,6544,5,53,4583,1154,4,46,3,23,976,79,5027,7372,9,81,141081,1096,2,838,7,1,"TCGA-OV"
5275,485,219,8,6837,0,1,667,709,105,19039,0,4,3024,10,236,1232,10,1037,46628,369,0,33,0,0,"TCGA-OV"
9506,534,742,7,7219,7,0,156,478,43,1064,0,13,1689,75,559,66,28,1167,54267,1365,0,2,8,2,"TCGA-OV"
9601,218,71,8,3539,0,0,505,352,5,174,0,2,4534,11,2165,1437,14,128,21720,1476,1,477,4,0,"TCGA-OV"
7291,494,440,823,3274,1,2,1649,307,70,2720,0,2,1874,31,1724,1528,11,491,33696,747,7,1079,5,0,"TCGA-OV"
30008,713,624,132,11631,1,91,307,299,9,194,1,9,7139,18,828,1053,4,1246,36154,760,3,304,7,3,"TCGA-OV"
9041,318,2496,1189,1745,11,38,426,365,117,143,2,34,74,626,9,263,19,33,19340,845,7,231,1,0,"TCGA-OV"
18126,2141,482,3,3698,0,1,996,4612,20,284,0,11,66,21,1935,6549,17,53,74304,224,13,118,7,3,"TCGA-OV"
22070,1148,930,87,21650,1,67,514,558,64,3349,2,0,8619,74,1975,351,618,11595,77796,952,1,8,12,0,"TCGA-OV"
1717,338,603,0,1157,4,0,125,124,3,546,0,4,633,49,226,567,0,467,18429,385,4,15,2,0,"TCGA-OV"
22637,250,628,4,3319,1,2,2096,555,2,1348,0,0,3263,15,2300,185,20,321,37246,757,1,869,1,1,"TCGA-OV"
23665,990,290,432,9107,6,3,381,885,4,258,0,58,3778,771,220,216,34,1874,43636,1862,1,318,20,1,"TCGA-OV"
15200,834,109,1187,3783,1,2,455,323,4,15441,0,1,1161,1,844,2158,164,822,30714,279,2,274,21,2,"TCGA-OV"
8816,263,393,693,6286,1,26,854,455,16,672,1,9,11511,10,1038,370,16,390,67978,1333,98,322,5,2,"TCGA-OV"
9460,495,462,404,4784,0,0,207,621,2,11209,0,0,1296,10,242,1088,52,213,27657,1229,1,0,1,1,"TCGA-OV"
14190,680,197,2,6495,1,0,490,375,13,23,2,2,767,4,200,148,9,487,26241,562,4,66,2,2,"TCGA-OV"
21955,874,2028,179,8517,2,5,965,567,120,3005,0,12,839,50,2779,2085,331,852,47874,636,55,1496,2,3,"TCGA-OV"
22648,1549,1606,1178,12419,6,93,202,182,5,1958,0,9,197,61,48,270,15,143,23068,1080,0,147,11,0,"TCGA-OV"
6726,574,1574,593,2562,0,14,226,315,0,3015,1,0,3984,63,5,1356,33,822,18482,872,0,0,2,0,"TCGA-OV"
34707,1088,961,359,8134,0,9,652,1091,1,8383,1,23,559,11,273,1123,45,224,49291,1335,6,29,3,1,"TCGA-OV"
32909,1647,399,5,29588,1,0,112,886,152,13586,1,2,987,108,4133,2732,6,309,47014,676,109,59,1,0,"TCGA-OV"
11730,1957,508,196,9874,7,38,1457,724,4,7755,1,3,3228,59,1053,2040,79,883,84745,376,23,77,3,4,"TCGA-OV"
30509,2143,1949,200,39610,2,19,1840,1370,1256,5252,3,18,5280,297,3406,6830,1147,6934,42782,1674,6,566,2,0,"TCGA-OV"
18169,818,253,315,15294,0,28,895,577,7,18291,0,21,912,79,690,1147,5,182,32562,1278,8,983,2,1,"TCGA-OV"
15663,401,2477,22,9006,35,160,1418,1686,551,4121,1,1,8400,104,662,262,789,482,25314,2142,28,5,14,66,"TCGA-OV"
13608,1103,671,400,2639,0,5,95,249,7,7562,2,0,1609,24,1914,3078,88,406,31841,701,9,25,1,3,"TCGA-OV"
31362,1843,373,41,9687,2,0,1480,815,3,435,2,14,378,166,9417,13558,494,2450,107197,3395,0,319,86,0,"TCGA-OV"
660,1228,11307,1330,32,2,2,2860,1778,39,41,1,154,763,746,1920,1454,12,137,36379,9991,1,0,3,9,"TCGA-OV"
48019,1209,3266,47,21353,4,7,1277,1675,3610,14063,0,0,5738,91,9602,9258,162,1162,78627,1559,117,6,0,2,"TCGA-OV"
27739,761,1117,340,3713,1,1,436,560,1,681,0,50,1042,161,3936,4811,105,895,52102,512,2,1428,17,0,"TCGA-OV"
6728,894,239,196,2743,7,7,389,248,1,1901,1,1,6052,48,2951,3835,67,254,48680,729,3,5,4,0,"TCGA-OV"
4805,863,1160,7,204,2,8,820,822,29,1622,0,1,2134,20,1218,952,3,58,59569,726,7,18,6,3,"TCGA-OV"
39900,510,4256,1,5547,29,41,817,708,4,1034,2,22,7981,32,3248,1484,32,174,91262,1802,15,187,4,2,"TCGA-OV"
41352,1859,2217,2027,48091,18,0,311,718,62,4466,0,6,5036,354,296,856,18,1653,71957,2995,2,176,24,0,"TCGA-OV"
47897,1750,328,2598,52452,5,4,284,663,4,3363,0,1,4202,29,54,1023,9,1845,79105,939,3,17,14,2,"TCGA-OV"
57427,1831,1653,1780,16013,5,2,1134,812,844,1410,1,13,1173,1214,3208,179,49,245,64928,2118,30,208,20,1,"TCGA-OV"
12394,921,244,1374,36979,1,4,820,624,26,2999,0,2,1273,27,521,1280,7,874,99325,1130,5,128,3,1,"TCGA-OV"
69868,1691,3591,27,36606,3,23,2022,2589,21,2309,0,0,6829,51,3072,3013,60,1414,105939,3708,12,10512,18,0,"TCGA-OV"
27403,1111,1211,2,12566,1,4,1266,1230,21,11472,0,8,16453,56,1811,1024,15,556,66822,1944,53,218,6,0,"TCGA-OV"
23441,553,1927,310,8771,0,3,319,294,26,7828,0,46,542,32,413,711,4,199,57268,676,20,221,5,0,"TCGA-OV"
19044,1875,502,215,8694,1,15,777,454,3,3836,5,3,3712,41,1051,885,26,157,36258,667,25,1855,18,1,"TCGA-OV"
33601,2476,1029,263,25367,0,0,854,1539,22,5072,0,199,4626,309,3193,873,132,598,81822,1002,6,1217,53,0,"TCGA-OV"
37345,808,553,251,7202,5,0,450,326,1469,11504,0,6,5284,49,4743,10279,545,1649,28977,1039,13,157,2,0,"TCGA-OV"
18358,1163,73,77,4029,125,0,395,827,1,911,0,0,26,307,1394,202,16,95,25169,1006,2,182,2,0,"TCGA-OV"
27350,1204,1995,139,21217,2,1,450,473,1,6,0,161,8490,42,267,3836,11,306,66573,2147,13,468,8,2,"TCGA-OV"
21333,1395,1820,1098,18182,77,121,493,1736,245,4729,0,61,10533,429,519,317,40,761,78037,3893,14,112,17,2,"TCGA-OV"
26452,1578,2693,68,20195,3,8,499,1404,2188,2991,0,46,12200,25,650,1854,119,748,71091,904,38,21,0,0,"TCGA-OV"
11197,885,5941,450,4273,2,1,589,770,131,2573,0,52,4844,31,478,313,13,306,34775,977,10,72,12,7,"TCGA-OV"
12269,553,223,343,3838,5,23,453,126,70,5849,0,0,2396,106,2511,963,342,924,51337,1539,0,17,2,5,"TCGA-OV"
14961,1536,1598,6,6682,0,7,152,1521,15,18288,0,58,1610,53,3304,370,27,475,90916,1119,8,561,0,0,"TCGA-OV"
29561,2679,1304,752,15457,1,9,1449,1192,3,9735,0,0,6665,12,292,1247,76,473,66306,1396,18,247,47,0,"TCGA-OV"
42492,640,267,88,5711,0,0,976,779,7,6039,0,72,466,30,5540,533,152,191,82034,2243,58,61,7,4,"TCGA-OV"
29022,1041,190,267,2251,197,0,534,1183,2,3190,0,2,405,8,3365,1137,10,384,74244,1106,4,217,2,0,"TCGA-OV"
5840,318,1144,0,568,0,0,73,181,13,280,0,1,882,20,368,167,918,455,21818,840,0,108,0,1,"TCGA-OV"
2874,284,1247,0,587,9,2,243,1102,1760,20,0,73,72,14,148,683,492,437,44021,283,11,70,3,1,"TCGA-OV"
32387,785,11819,2113,105,2,2,99,742,525,12,0,22,6299,16,103,2530,15,666,27334,1945,4,9,9,121,"TCGA-OV"
30839,1237,2012,177,15742,10,0,642,900,1,18726,2,7,1709,126,481,666,125,2161,73378,4479,2,149,28,1,"TCGA-OV"
39592,1405,291,1217,17750,2,1,833,563,16,51919,0,5,2795,121,7447,3151,28,1967,125079,3764,0,13,8,0,"TCGA-OV"
4496,1675,926,160,2026,0,1,2795,1380,4,385,42,315,2678,13,4720,511,1,243,258564,529,2,295,18,1,"TCGA-OV"
17498,486,205,11,15955,4,2,1458,653,164,1515,0,0,4769,6,892,160,16,238,38479,686,1,244,2,0,"TCGA-OV"
15348,231,423,381,9415,2,0,260,250,2,6159,1,0,938,17,1371,1743,124,277,43305,764,0,46,4,0,"TCGA-OV"
31478,867,689,763,21450,0,24,594,554,2,27082,1,22,1830,101,1659,130,54,648,90758,1534,4,515,2,0,"TCGA-OV"
48132,998,1763,6,17605,7,3,1804,850,8,1432,3,1,2016,34,1699,7242,55,187,45254,910,4,35,3,0,"TCGA-OV"
15562,461,1021,23,3356,3,3,162,581,9,2293,0,0,9698,21,1287,896,221,175,45298,1418,1,37,5,1,"TCGA-OV"
6553,1383,284,31,8233,6,2,243,273,3,389,0,2,2826,55,1950,967,43,383,98052,1003,3,14,14,0,"TCGA-OV"
28484,499,2711,96,19236,0,0,581,1013,132,7031,1,12,5054,2284,5547,2421,58,447,44434,2448,0,554,12,0,"TCGA-OV"
36760,971,1832,2352,13546,0,2,402,842,3,11415,0,2,8101,84,153,628,37,1452,60781,1324,8,270,5,0,"TCGA-OV"
91457,1635,996,1403,18550,6,5,3390,1049,1293,220,0,0,1042,236,2569,1504,421,3674,184618,2376,0,3526,54,0,"TCGA-OV"
9440,562,44,1,2240,0,1,48,194,6,44,3,36,1680,30,1079,1199,38,530,48680,402,94,139,31,0,"TCGA-OV"
36080,1053,1536,203,11623,1,41,328,590,9,516,0,15,2913,21,783,941,24,542,52385,1234,24,2,4,0,"TCGA-OV"
30587,619,4229,2946,9459,0,1,1516,435,0,247,2,8,2235,18,1295,3507,27,134,65023,1995,0,74,17,3,"TCGA-OV"
44806,525,1698,577,13592,2,51,952,1143,41,16771,1,37,1852,270,4541,1637,18,614,34463,3415,2,1512,8,2,"TCGA-OV"
9602,176,1563,42,1346,11,1,203,399,5,588,0,69,2800,37,4273,262,22,126,28850,1251,10,76,0,0,"TCGA-OV"
85644,1382,197,108,23742,3,7,567,1095,2,90326,0,9,6009,94,355,1530,190,178,66369,1283,3,10,2,0,"TCGA-OV"
58593,768,1586,1012,24126,0,2,574,3826,577,11029,1,0,9012,78,1033,915,120,747,68892,3534,2,1,1,0,"TCGA-OV"
14582,1199,1579,1469,12954,1,14,774,1184,2,13471,0,24,4329,301,350,379,24,393,63296,1902,5,86,9,0,"TCGA-OV"
41196,825,7039,7,9169,3,19,4383,747,37,16473,0,1,9629,19,10156,2845,28,795,43319,2841,116,178,13,3,"TCGA-OV"
27061,987,1136,498,7315,0,5,721,1088,39,753,0,1,5679,111,4409,2239,27,511,57906,5845,1,8,1,0,"TCGA-OV"
15868,1283,225,3061,6161,0,0,1036,2202,5,213,2,0,967,3,2849,572,108,1245,85963,312,0,764,85,2,"TCGA-OV"
10143,909,1204,124,3010,4,8,302,1114,643,4044,0,46,1777,29,1073,1067,2463,157,36924,1007,24,671,384,3,"TCGA-OV"
39704,497,966,24,21005,2,2,502,417,3783,7876,1,6,1192,83,1230,426,10,440,37727,669,28,73,7,128,"TCGA-OV"
22081,940,1007,69,8184,1,2,427,1581,9,7717,0,4,1652,36,1000,1706,48,297,51164,2737,2,16,10,2,"TCGA-OV"
11121,1009,932,93,8724,1,1,172,423,2,3843,0,21,3202,130,356,133,34,497,34256,1088,3,11,4,0,"TCGA-OV"
18225,764,4896,29,25516,0,1,3194,993,6,4592,0,1,5307,12,5577,4570,7,1411,45085,1099,1,28,3,1,"TCGA-OV"
17867,357,1981,4,8313,3,4,1151,268,2,303,1,3,6044,4,707,749,8,123,34090,918,4,327,16,0,"TCGA-OV"
39064,929,6389,243,32140,0,131,908,1264,11,75983,0,78,2731,76,3725,1019,99,565,58048,1024,2,47,3,1,"TCGA-OV"
20246,654,848,827,10663,1,1,705,409,5,8904,1,0,3095,43,6892,1406,19,1251,54854,1219,0,383,5,0,"TCGA-OV"
20511,619,649,50,7069,3,0,431,727,18,613,0,0,2365,239,1194,603,61,278,28225,1506,17,13,3,1,"TCGA-OV"
23727,436,1077,1447,6193,3,91,618,697,26,36316,0,20,4378,115,314,1076,12,610,25357,1305,19,29,10,0,"TCGA-OV"
365,835,7141,136,239,0,6,1195,1279,60,115,2,395,6230,646,4854,435,12,11,57075,3498,1,8,4,2,"TCGA-OV"
43399,753,2266,239,15837,6,6,1906,907,6,696,0,22,2040,32,201,1129,336,889,122900,2834,64,325,15,2,"TCGA-OV"
39346,1145,8626,6385,22383,6,102,2210,865,17,80040,0,91,2498,21,2984,5147,66,607,43597,1138,9,168,19,1,"TCGA-OV"
7081,332,2698,31,5624,2,4,989,631,43,60,2,2,3145,30,253,204,16,164,17053,2216,30,9,6,6,"TCGA-OV"
35869,842,712,1184,18532,15,3,943,840,3,13356,0,0,2402,62,1803,846,12,1570,24854,1210,3,145,32,0,"TCGA-OV"
17144,391,105,325,3690,0,1,908,537,7,834,0,2,26,12,4102,144,3,379,343721,1060,2,109,5,0,"TCGA-OV"
35643,454,2547,1524,12804,3,412,1214,995,14,101203,0,114,13168,69,952,1309,181,647,86311,2386,152,354,1,3,"TCGA-OV"
17725,1367,5488,1,12331,0,4,504,1206,3,2665,1,10,469,8,652,1868,46,224,58296,1639,77,41,17,1,"TCGA-OV"
22649,148,236,171,10320,0,0,780,713,0,14641,0,0,399,31,3518,920,37,1069,21607,967,0,24,8,0,"TCGA-OV"
34661,559,179,67,727,1,0,1961,236,39,1179,4,0,8049,23,2251,698,27,441,20979,690,13,32,15,1,"TCGA-OV"
19836,372,1400,848,7244,20,101,721,388,851,459,0,49,155,34,807,398,4,444,26666,1519,12,378,3,0,"TCGA-OV"
35776,630,1112,7,9967,3,10,1034,312,109,5207,0,0,4638,45,1050,823,149,1337,35431,656,103,255,3,1,"TCGA-OV"
60962,315,279,0,1555,2,32,1614,1823,24,21635,0,3,48,20,1835,1222,123,376,77113,1523,0,0,6,4,"TCGA-OV"
5612,676,1268,1037,5920,9,308,713,1463,61,705,1,52,1102,409,786,774,31,66,28331,4063,222,122,17,3,"TCGA-OV"
5441,452,158,2,54,1,4,1170,310,3,476,0,386,2751,12,1452,193,41,3,84631,1685,2,1,1,0,"TCGA-OV"
33080,434,1643,125,4864,1,24,1079,834,2,630,0,3,381,10,312,1113,6,124,53314,907,2,13,10,0,"TCGA-OV"
29872,473,3717,802,17600,0,116,1232,1078,70,22633,0,61,13779,13,693,700,17,695,202035,1298,0,52,10,1,"TCGA-OV"
10549,176,339,15,5393,0,39,1047,298,8,2934,0,13,1518,16,696,1078,82,575,8722,813,3,18,13,1,"TCGA-OV"
29198,541,7923,1309,13463,2,62,734,769,12,46024,1,7,2349,118,501,102,5,342,18720,4000,2,3,19,2,"TCGA-OV"
38011,652,836,1136,12612,1,19,571,383,11,45050,0,2,6660,57,2816,841,47,1531,65244,1368,27,62,8,1,"TCGA-OV"
14763,173,608,5,6391,4,6,318,349,1,20186,1,6,3454,53,2286,2845,22,317,16816,757,54,13,2,1,"TCGA-OV"
21400,270,2536,170,10809,2,0,343,525,45,512,0,18,6727,43,1889,628,20,163,10101,1640,4,6,5,1,"TCGA-OV"
12658,626,197,51,13421,2,1,2289,972,4,134,3,1,3809,3,877,1709,26,339,94359,868,0,24,26,1,"TCGA-OV"
17669,364,6597,1181,21713,6,918,2941,2102,4989,9,0,58,11342,480,2464,3777,2,413,15333,3598,1,144,24,0,"TCGA-OV"
26946,719,820,1181,14616,4,108,823,1546,57,6622,1,3,4365,107,1492,1600,35,927,31391,1462,2,47,13,0,"TCGA-OV"
20137,560,817,814,5609,0,2,950,1004,16,26427,0,17,14456,101,294,1767,63,535,36783,2250,1,25,27,22,"TCGA-OV"
15900,599,1136,731,574,0,4,739,911,4,1464,0,169,1149,15,886,1992,355,312,51734,3048,10,7,5,2,"TCGA-OV"
28418,1773,967,1,5012,20,4,823,602,1,1508,1,32,5066,64,1956,311,34,555,71888,2981,2,1,10,1,"TCGA-OV"
24510,742,1129,131,20980,3,37,2431,988,7,411,1,1,3343,32,2853,837,55,1164,59765,1797,3,152,23,0,"TCGA-OV"
24902,1930,149,177,7434,1,16,1407,872,1,365,0,8,2043,9,967,2880,9,767,100757,862,0,10,4,0,"TCGA-OV"
10988,1139,818,7,1034,1,2,530,1023,115,999,1,1,785,30,2590,1471,31,389,69882,937,0,47,1,2,"TCGA-OV"
20218,376,1138,5,7785,0,10,1655,548,15,4575,3,1,8115,26,7363,6669,54,138,29948,1080,0,155,8,1,"TCGA-OV"
