"","sample","ENSG00000003436","ENSG00000005884","ENSG00000006534","ENSG00000010319","ENSG00000010438","ENSG00000011105","ENSG00000026025","ENSG00000029993","ENSG00000037965","ENSG00000047648","ENSG00000053918","ENSG00000057019","ENSG00000063169","ENSG00000064961","ENSG00000068078","ENSG00000075292","ENSG00000081692","ENSG00000082014","ENSG00000085276","ENSG00000085511","ENSG00000086548","ENSG00000088766","ENSG00000089225","ENSG00000091656","ENSG00000091844","ENSG00000093167","ENSG00000095303","ENSG00000095637","ENSG00000100364","ENSG00000100558","ENSG00000100918","ENSG00000101443","ENSG00000103241","ENSG00000105258","ENSG00000105369","ENSG00000105419","ENSG00000105640","ENSG00000105928","ENSG00000106031","ENSG00000106348","ENSG00000106546","ENSG00000107890","ENSG00000110697","ENSG00000112167","ENSG00000113722","ENSG00000114638","ENSG00000114738","ENSG00000115009","ENSG00000115361","ENSG00000115414","ENSG00000117143","ENSG00000117262","ENSG00000117461","ENSG00000117707","ENSG00000117983","ENSG00000118596","ENSG00000118971","ENSG00000119900","ENSG00000120332","ENSG00000121075","ENSG00000121577","ENSG00000122026","ENSG00000122852","ENSG00000124429","ENSG00000124664","ENSG00000124875","ENSG00000125618","ENSG00000128578","ENSG00000130413","ENSG00000131094","ENSG00000132321","ENSG00000132465","ENSG00000132676","ENSG00000133477","ENSG00000134490","ENSG00000134817","ENSG00000135100","ENSG00000135924","ENSG00000136014","ENSG00000136352","ENSG00000136383","ENSG00000136546","ENSG00000136811","ENSG00000137077","ENSG00000137203","ENSG00000138074","ENSG00000139679","ENSG00000140598","ENSG00000141098","ENSG00000141527","ENSG00000143217","ENSG00000143995","ENSG00000145623","ENSG00000145675","ENSG00000146166","ENSG00000147889","ENSG00000148935","ENSG00000151474","ENSG00000151632","ENSG00000151651","ENSG00000153292","ENSG00000153395","ENSG00000158014","ENSG00000158486","ENSG00000159648","ENSG00000160746","ENSG00000160963","ENSG00000161381","ENSG00000163075","ENSG00000163734","ENSG00000164161","ENSG00000164220","ENSG00000164733","ENSG00000164749","ENSG00000164978","ENSG00000165409","ENSG00000165556","ENSG00000165637","ENSG00000165655","ENSG00000166337","ENSG00000167105","ENSG00000167996","ENSG00000168675","ENSG00000168779","ENSG00000169247","ENSG00000169249","ENSG00000169429","ENSG00000170364","ENSG00000170955","ENSG00000171885","ENSG00000173530","ENSG00000173559","ENSG00000173852","ENSG00000175768","ENSG00000176402","ENSG00000176842","ENSG00000178623","ENSG00000179914","ENSG00000179965","ENSG00000180447","ENSG00000183036","ENSG00000183087","ENSG00000183153","ENSG00000183696","ENSG00000184925","ENSG00000185303","ENSG00000185386","ENSG00000185479","ENSG00000186832","ENSG00000186847","ENSG00000187134","ENSG00000187699","ENSG00000188483","ENSG00000189377","ENSG00000196074","ENSG00000196139","ENSG00000196260","ENSG00000196371","ENSG00000196420","ENSG00000196878","ENSG00000197043","ENSG00000198431","ENSG00000198804","ENSG00000204209","ENSG00000205403","ENSG00000205531","ENSG00000205978","ENSG00000224578","ENSG00000233041","ENSG00000235169","ENSG00000239264","ENSG00000244486","ENSG00000244694","ENSG00000259207","ENSG00000272325","ENSG00000275410","project_id"
"1","TCGA-04-1331-01A-01R-1569-13",284,12851,2193,284,55,3272,54010,8378,42,108,164,3757,4359,5025,373,6254,733,9449,9608,1221,85,392,11,896,113,2918,15093,754,2533,445,10945,110217,63,1706,100,331,68026,836,1,2556,1395,1557,3741,1695,4,290,2737,20,234,135911,1585,371,4715,13,65,218,660,1147,33,338,138,15695,1,75,629,47,47272,182,832,8561,1701,199,3637,155,1238,757,7,6010,229,0,326,24,4300,357,2746,3337,503,816,1123,493,1326,13765,1755,2411,8,19256,64,2117,25,808,1028,5704,789,143,2,1549,862,1024,307,213,113,36,91828,59,557,176,0,4883,5346,384,315,39245,2545,87,23,1137,167,622,1047,14,124,1170,1748,175,3,22,433,10,1202,7566,3147,12276,65,707,988,3,186,81,128,1427,75,261,10983,3444,383,109,1,228,96,3944,4139,5415,1102480,3793,1008,4294,8934,704,0,93,66,1949,9,818,198,19,"TCGA-OV"
"2","TCGA-04-1332-01A-01R-1564-13",931,6285,1364,1656,46,3459,30332,963,83,479,735,2173,4645,3099,689,1929,370,2183,2687,563,299,315,2,187,47,1397,12168,1074,3076,34,4886,56098,133,827,30,1313,49225,287,0,2997,6357,264,6575,615,14,246,1839,155,72,69369,1547,140,1430,224,1175,71,943,669,21,14,142,20726,2,33,1158,47,11200,32,348,183,483,246,2374,484,1189,478,1,3262,43,0,384,672,1493,3321,1496,1804,458,665,1090,60,540,4037,1949,5139,0,6806,23,1826,88,671,60,2113,45,82,107,1084,1520,385,80,44,45,20,28819,0,642,20,0,4554,9713,392,95,22650,2146,15,48,556,672,669,804,288,166,347,779,32,0,685,217,294,1266,3748,324,17273,102,354,280,0,363,9,35,542,258,3643,2536,2295,35,1548,2,189,10,7695,4371,2466,408407,1748,1438,2888,22927,213,1,251,82,5224,16,286,235,615,"TCGA-OV"
"3","TCGA-04-1337-01A-01R-1564-13",691,143028,14282,298,26,9096,57432,3257,17,396,920,11255,5604,12062,987,3325,721,22729,4701,1743,3,744,4,2879,131,4702,9311,8421,9084,296,980,160041,1246,1307,113,2669,132556,1434,111,8218,2881,630,14131,1424,164,359,6871,313,31,510311,2346,307,3080,196,43,951,4451,1346,137,6,1068,77204,0,16,34,42,51111,141,939,264,894,1075,6833,859,1121,3633,2,7916,148,0,1448,602,6241,6812,3251,3966,1067,1069,1905,397,1100,10770,4751,6273,475,12868,47,1475,50,2530,1720,4876,288,741,20,2422,8414,2800,522,349,497,1385,121351,56,1011,1700,3,21067,10822,1032,952,82783,3380,630,112,1059,1484,1290,2837,6,994,1363,2271,132,7,606,242,2,1811,14411,1993,58660,390,2378,17005,0,879,4,107,27,167,201,15327,42,151,386,5,276,250,18572,13654,6434,2014196,5187,1254,7531,2451,893,2,850,160,8755,134,1103,324,32,"TCGA-OV"
"4","TCGA-04-1338-01A-01R-1564-13",272,4692,749,109,15,901,30595,1593,121,44,117,2770,1073,1825,97,1755,134,531,3203,377,20,106,8,321,45,805,3640,187,912,50,188,3017,77,897,48,199,43527,131,0,888,1186,596,786,852,2,1183,583,96,1,114357,902,184,661,13,21,112,714,466,10,4,74,21293,0,110,22,45,10946,20,47,78,484,701,2259,78,234,271,1,1383,9,0,121,3,1097,4,2906,1156,1118,205,425,137,940,5193,1346,1406,69,766,12,542,47,283,1399,711,994,67,22,521,47,358,19,131,34,13,26419,35,276,16,1,16653,8089,185,152,30044,223,61,10,256,385,275,915,1,223,540,456,28,0,7,59,3,523,6750,4,3589,28,322,369,0,92,7,256,463,59,1404,1480,5321,99,124,283,58,712,1803,1973,1601,1257384,1193,6055,1553,1747,329,0,24,21,851,22,178,90,546,"TCGA-OV"
"5","TCGA-04-1341-01A-01R-1564-13",144,28626,2041,107,99,4453,18481,4080,13,24,389,7842,2188,8754,2937,2128,659,4814,6493,1121,175,523,160,137,56,2475,29334,650,2474,475,16031,296487,51,2340,1003,885,578261,233,0,5020,1606,331,4365,1079,0,1915,4762,193,0,33218,1882,521,1902,1,1943,39,364,888,12,10,105,76594,2,60,3783,10,66115,108,499,458,2164,1411,5894,14,466,60,0,5061,61,0,157,9,1931,12,2640,4201,397,834,670,131,1827,7826,2185,734,107,19849,32,217,44,893,157,4099,527,238,174,2178,1936,772,211,54,148,102,126681,0,1566,30,3,29666,18146,1226,2050,132404,263,128,16,717,134,1631,1051,6,156,623,393,138,36,135,178,5,1618,2402,1420,9723,62,1388,1124,0,77,436,273,1395,70,998,7565,866,117,516,7,166,637,5285,5016,4979,712782,3113,580,4409,4203,1068,0,1518,90,7654,4,327,340,30,"TCGA-OV"
"6","TCGA-04-1343-01A-01R-1564-13",503,25379,1106,424,18,3046,28691,2814,70,170,998,6040,4632,9634,1526,1993,553,7185,5895,1081,1517,492,4,274,64,2125,15794,1318,8238,542,12042,302621,108,2984,1757,781,196707,382,14,9087,4720,748,9565,1676,4,776,3934,440,17,118211,2390,471,1453,33,400,102,850,948,28,1,162,59969,1,78,67,168,27060,24,533,304,1900,3738,7158,2454,1355,711,0,7236,15,15,212,217,1837,1182,547,4281,540,1056,923,224,662,7565,3388,2047,14,22803,21,487,453,1250,209,2515,433,57,103,1867,3412,635,250,1167,20,34,191913,1,415,125,20,13716,9617,1101,364,50502,1436,89,15,636,375,1666,2239,10,509,1247,729,69,9,73,261,20,1239,5622,1795,32916,115,1112,2293,8,315,25,548,644,393,725,7898,1444,2449,2228,7,312,234,4902,8850,5329,1326707,3272,893,5941,6704,608,0,343,195,5383,19,721,444,6,"TCGA-OV"
"7","TCGA-04-1347-01A-01R-1564-13",114,11985,742,164,67,1851,19960,1503,12,33,117,7228,2641,5801,1084,1488,763,2964,9499,698,0,283,7,16,57,701,8927,392,645,105,5290,117338,15,2109,179,182,126385,145,13,3387,937,375,1919,1797,4,1097,1860,18,1,52205,2109,588,671,4,12,15,94,185,11,2,128,28230,4,9,104,9,27191,32,305,976,976,559,5799,240,681,112,6,1850,283,0,86,11,1483,199,21,6682,94,797,637,113,210,9247,516,466,235,1971,74,570,24,418,29,1138,15,19,19,936,943,192,149,18,11,29,49091,5,371,199,0,10019,9676,722,1009,17981,122,8,16,144,94,453,287,28,367,655,493,71,12,5,152,7,1554,989,10681,5050,18,99,380,4,68,7,10,142,92,413,3812,29,377,69,1,137,344,2542,4066,3360,1230327,5995,138,1848,7151,675,0,744,57,2522,14,37,449,16,"TCGA-OV"
"8","TCGA-04-1350-01A-01R-1565-13",31,4891,781,10,16,1624,54988,2903,7,8,239,4029,1211,4494,1136,3364,404,3453,3765,550,33,484,0,820,44,1783,20363,975,1269,85,16984,89815,4,2562,48,26,210889,179,1,1055,1452,685,1776,328,1,222,1962,142,1,18841,1495,249,1419,3,142,14,16597,197,0,5,25,97234,0,116,443,2,32040,23,671,106,2368,213,3917,69,658,30,3,3574,243,0,77,7,1269,0,9,1887,107,462,707,39,143,21595,501,4149,11,3709,48,946,27,322,33,2167,8,91,46,1478,1501,85,16,28,8,2,75558,22,249,50,1,15318,9296,1083,129,101024,89,0,35,346,126,1014,1830,2,237,1117,1378,85,7,0,297,6,768,8669,7247,7756,6,44,833,17,31,18,2,446,22,1097,2376,249,10,105,0,358,13,1091,5791,4666,1268161,2554,546,6530,4557,1003,0,419,111,934,4,7,356,17,"TCGA-OV"
"9","TCGA-04-1361-01A-01R-1565-13",301,5711,6715,1356,10,4329,73902,4437,195,826,549,7396,2803,8928,311,6684,466,3286,6860,1011,1478,377,0,233,106,2749,5617,2060,3816,579,4968,87362,57,2028,45,260,134075,437,0,5356,5804,1490,3691,1225,23,1015,3707,99,37,20748,1823,469,4473,259,69,88,2342,2041,0,6,174,28938,0,3,8220,8,6298,135,436,227,1879,524,4978,615,1864,253,4,2623,61,0,659,660,3586,1172,232,3187,1129,1885,1133,521,1680,21043,3001,1850,160,815,43,1419,307,899,302,4285,23,813,1200,1945,694,433,44,68,79,16,77893,8,956,50,3,12889,15498,595,790,93114,1816,9,38,915,65,816,592,12,195,881,2359,69,13,53,390,46,996,2224,1192,10849,130,418,3067,3,270,3,243,351,316,12687,9708,7185,137,944,24,400,34,1188,9314,4196,1691928,4301,588,3496,9424,661,0,434,161,2096,6,337,428,6,"TCGA-OV"
"10","TCGA-04-1364-01A-01R-1565-13",125,7439,1068,1028,23,1696,9674,11315,15,80,227,4029,2977,4770,755,3830,528,1769,20621,1420,73,807,0,19,50,1787,7944,456,2800,231,8463,77110,20,1020,4,69,164766,361,1,3031,2339,396,6959,1223,2,126,2955,34,38,6550,2066,1082,1015,34,156,51,371,923,7,0,110,33419,0,4,5661,3,16129,210,854,162,1707,19,5656,1648,739,245,1,4362,92,0,2864,41,4197,32,1456,7655,154,1190,1468,73,1148,16396,709,1993,397,7738,66,333,101,134,79,4622,176,178,310,2498,2345,265,392,37,23,6,23433,30,475,13,0,10597,18338,720,567,35414,200,5,6,1017,82,1332,724,7,319,588,2126,211,36,141,61,3,975,18687,1190,6769,41,165,1368,0,52,30,25,312,140,2840,4403,1067,282,113,7,124,54,1049,4278,5889,903304,5392,1247,6274,6650,1142,0,433,147,4997,10,133,482,96,"TCGA-OV"
