"project_id","ENSG00000042832","ENSG00000198804","ENSG00000115414","ENSG00000198886","ENSG00000153002","ENSG00000108821","ENSG00000198938","ENSG00000164733","ENSG00000168878","ENSG00000120885","ENSG00000164692","ENSG00000198712","ENSG00000198727","ENSG00000168542","ENSG00000198763","ENSG00000156508","ENSG00000198888","ENSG00000110484","ENSG00000198786","ENSG00000075624"
"TCGA-OV",66,1102480,135911,1289833,12,308880,585219,91828,29,177762,119484,659821,884645,93537,643550,151069,510996,6,276089,227839
"TCGA-OV",29,408407,69369,271436,1815,593983,175871,28819,48,89636,181202,188287,166542,73834,86961,165211,112246,2,59884,272609
"TCGA-OV",180,2014196,510311,958607,46,2654958,835630,121351,37,213226,1001003,1065344,520012,762340,396726,578498,630663,5,213087,750418
"TCGA-OV",28,1257384,114357,983279,1,509178,637728,26419,5,10737,171596,430767,613826,155011,416200,168986,433454,1,197506,281514
"TCGA-OV",28,712782,33218,654381,12,339645,589712,126681,864,275647,121793,692069,276727,73055,295090,332480,436171,22,118226,513605
"TCGA-OV",75,1326707,118211,716018,10,733057,796134,191913,659,443090,223359,812659,415474,161963,305592,289223,305226,21,179946,569651
"TCGA-OV",9,1230327,52205,767981,107,89738,708343,49091,3,61734,31300,653595,332019,16277,290919,240212,498182,1,100295,173481
"TCGA-OV",5,1268161,18841,619828,1,15982,505796,75558,29,143312,13528,310314,258361,4218,344381,384052,567843,0,131325,279261
"TCGA-OV",26,1691928,20748,1708223,1,289593,628938,77893,55,245145,157547,1013949,457862,44995,508747,262233,445451,6560,276498,399417
"TCGA-OV",11,903304,6550,578473,4,31370,419691,23433,13,23763,20073,309170,298179,7255,325944,297066,360978,6,141823,409938
"TCGA-OV",422,1816450,37479,1123804,24,70855,609063,109234,990,96527,51944,633167,560432,18266,538366,347097,570961,6,279582,644174
"TCGA-OV",25,2347843,12075,1547406,5,101573,690939,52824,19,779814,56510,631094,1082798,23855,874608,474089,819197,0,575562,489617
"TCGA-OV",16,1228730,38451,523389,0,39215,415788,114941,522,531628,16014,288788,254014,5604,442945,235917,534798,0,126291,344182
"TCGA-OV",23,745698,124117,588639,0,442910,394931,44600,28,9337,145254,256432,251092,121607,203515,138917,162679,3,123439,221580
"TCGA-OV",201,1259395,7134,1152464,6,34276,661128,23747,36,49209,18672,742979,718368,9332,532917,101618,464442,826,306571,211837
"TCGA-OV",2,674429,5025,580534,6,27059,303500,56060,81,266345,12026,314023,264309,4943,251432,289578,281754,4,164129,210654
"TCGA-OV",1639,1367009,45830,939940,37,18284,618544,191756,49,594756,16477,419217,357738,7336,321038,184110,444132,16,210566,406848
"TCGA-OV",270,2454056,5546,2017794,368,35887,1345986,234002,5970,231262,27271,1180106,1013729,9270,876757,364816,826069,2,546251,305280
"TCGA-LUAD",27,294612,232482,146580,2,229347,154394,174122,108719,2498,154304,124530,60795,204615,41627,312331,56679,0,43937,563262
"TCGA-LUAD",27,163001,79655,106073,118,90300,106085,52176,470917,2199,70710,73942,74726,88429,48076,116697,39377,0,40225,234551
"TCGA-LUAD",46,721654,351378,436951,1,293953,373284,243655,59621,10186,160041,339336,206237,188763,179623,642665,100278,0,167032,993464
"TCGA-LUAD",111,693083,304480,443771,26,234211,386734,110381,101030,56851,160705,274821,219347,189063,169730,370474,177564,0,216614,641731
"TCGA-LUAD",24,262630,123838,191786,3,312576,125038,52720,69157,4674,180893,143808,118335,235259,81274,106713,59192,0,61927,276199
"TCGA-LUAD",25,211408,163516,194008,11,348166,86247,69535,704481,5515,237149,74169,82328,357499,97173,169887,80514,0,43740,233555
"TCGA-LUAD",17,199828,119559,147499,2,116908,85946,50378,276031,811,70811,70041,72046,100671,117297,203605,78992,0,56829,258698
"TCGA-LUAD",61,355683,334249,189917,9,459644,192755,163002,559517,21280,294932,117234,100836,382233,75117,399966,92719,0,70114,614481
"TCGA-LUAD",161,800171,619553,515072,35,128120,339495,296097,81426,39879,96423,285002,294257,130480,209410,541138,218285,0,214907,557002
"TCGA-LUAD",31,172685,104385,138120,9,100799,43731,70399,27370,2522,64679,61522,48462,66033,50343,106210,67791,0,67442,182810
"TCGA-OV",195,498494,6356,329346,6,81328,163884,19262,747,3913,44652,233145,165352,22911,147034,397178,189750,0,96320,212186
"TCGA-OV",46,1280835,57555,614322,178,50891,851783,317063,164,44125,18061,528844,357877,7230,287739,745455,337820,0,174517,900074
"TCGA-OV",22,582792,7077,494008,808,14051,624083,34359,24,646898,8366,563177,177004,3295,234051,630734,357307,282,92462,438409
"TCGA-OV",110,871332,81028,480531,343,432347,460153,71956,46,61665,94523,443651,204767,124812,186164,348344,233304,0,112177,588106
"TCGA-OV",75,723454,23859,467982,1414,137546,558731,102958,83,301951,70917,451491,206756,42394,189583,902419,252744,8,91368,396298
"TCGA-OV",91,1386518,85569,903980,2,233291,542149,61077,25,189668,113563,447124,444190,57364,531494,1279337,714107,24,270533,372371
"TCGA-OV",36,1110353,23537,1629811,2,81525,539720,82680,2,27030,60852,832830,863570,27872,974687,244103,412440,112,278671,191862
"TCGA-OV",29,656962,17821,626059,70,26967,272249,70084,10,309765,35662,322284,241303,10245,332755,394580,266038,3,260877,235938
"TCGA-OV",99,1139440,106854,939602,1,225601,505766,120709,104,64056,96778,440493,340075,61581,423764,269105,541453,2,210142,362156
"TCGA-OV",91,675680,28257,598925,2,258444,310155,52823,10,30264,112567,252467,294172,40081,330691,508420,493653,3,163614,256661
"TCGA-OV",28,650678,26941,477665,5,222732,362938,55743,8,26454,91691,294864,212618,50031,275861,570588,272445,0,87149,909424
"TCGA-OV",21,468377,44329,296587,6,41489,361155,155505,41,146006,22275,361331,245691,18966,113463,620097,120235,0,42666,420413
"TCGA-OV",14,865409,5284,577096,228,79749,384346,29849,3,17068,48835,425113,262220,22172,291304,348757,321873,0,71800,429559
"TCGA-OV",24,982056,39289,616846,194,102501,453435,69985,97,249673,48936,495475,399196,30976,235355,479460,132996,98,106293,512706
"TCGA-OV",15,304698,29573,182458,17,114455,119436,19600,5,12495,67637,96261,77618,36666,92843,284391,120070,4,66332,191382
"TCGA-OV",221,671012,19222,390172,6,70873,580839,86670,5112,204031,42394,330683,256605,22795,208873,636563,244300,23,67955,408124
"TCGA-OV",564,928258,125989,498486,57,335360,645961,165147,9737,137629,112291,598795,290910,84631,287320,727242,234906,0,105028,1101483
"TCGA-OV",6,479997,27173,434861,11,82344,236854,26551,8,199860,44293,193220,197368,32792,217662,124699,232686,0,134052,112554
"TCGA-OV",18,759854,9312,559616,1,37377,358282,35033,168,50237,19579,330791,245843,6819,280916,273800,379066,0,159947,170027
"TCGA-OV",6,1693578,16957,1067166,35,85847,669225,105247,35,507832,71539,1188791,359960,22418,506384,541665,517063,73,308423,379742
"TCGA-OV",8,1965661,7257,1367870,0,123763,782548,49999,120,7560,58293,871218,933574,27477,468858,78235,587126,20,284792,256334
"TCGA-OV",42,2024135,2190,1413962,25,29448,1320515,91295,9,43627,14309,1305108,801237,8812,431464,708274,502258,415666,271445,545296
"TCGA-OV",13,425581,7972,443183,37,37541,186457,33535,10,158267,19929,539297,115991,8851,159390,135454,145298,332,123344,126018
"TCGA-OV",3,222528,1330,163701,5,15149,62513,41313,28,31284,11514,168289,61450,3323,53092,252090,60016,25,29533,144266
"TCGA-OV",141,1089080,6686,887105,105,25784,639643,75751,14,682157,12677,509378,482640,7985,448438,252165,398754,0,196111,329388
"TCGA-OV",62,703766,45574,576248,49,155063,619531,63765,11,128302,63904,380894,244499,50112,213096,156200,349098,2,68761,293394
"TCGA-OV",7,271264,14401,214801,23,129725,236093,59596,4,134781,40376,187568,124441,18697,161800,285621,108548,1,29274,230525
"TCGA-OV",120,651474,38792,231591,16,161987,309550,18436,19,23519,103176,185049,142067,63599,79524,158801,183616,0,41784,156563
"TCGA-OV",140,3222446,38985,1774477,19,104839,2492208,132168,17,669597,38555,1535692,1141051,24765,757709,413126,1196562,33,285721,611524
"TCGA-OV",11,1680899,12027,1404292,3,147462,902670,79195,618,30868,47366,908218,649859,40045,667664,344233,624926,1,234114,359926
"TCGA-OV",6,106755,10497,86035,312,18351,49407,18933,0,65685,12582,76325,26048,7612,36352,99927,53232,0,18463,132971
"TCGA-OV",1,1000238,6523,882227,2,43452,443811,48921,20,588852,13503,539624,399496,8959,530554,127209,517378,27,266215,359356
"TCGA-OV",12,960170,3335,627561,1,42591,262844,47847,34,198886,48195,264872,229719,7325,260396,449026,317046,1,174023,304597
"TCGA-OV",13,812305,5507,371525,10,15128,473392,42975,164,263702,10120,374422,159062,4823,99058,215720,174312,1,55236,263208
"TCGA-OV",28,491318,223087,437589,24,625972,206836,78038,16,32600,299049,173239,196054,250702,193070,541613,188563,5,73143,264763
"TCGA-OV",13,1273890,40229,724396,13,153078,793649,38661,52,201013,65974,413888,455191,47537,308582,212642,560300,28,200444,176749
"TCGA-OV",24,917295,14286,780226,6,97032,320227,29839,9,50780,34814,413808,384121,28779,422743,297848,469233,0,184629,214909
"TCGA-OV",75,1094710,23567,822871,3,147445,695101,37108,331,318245,74918,903607,415424,28813,460440,352756,542838,8,121591,493582
"TCGA-OV",10,617623,4507,471854,3,73067,301183,11307,15,22121,29896,275156,270615,25802,268986,104346,234530,0,115925,150558
"TCGA-OV",4,672398,7443,447681,45,12508,374906,57046,33,216040,12355,428520,296763,4437,194653,89120,273052,0,126269,155408
"TCGA-OV",190,1130343,57657,1040790,155,300617,454726,45184,45,110831,110034,477773,304914,89163,374468,149290,357557,0,155132,474282
"TCGA-OV",22,1467682,202603,1608316,4,1313793,1329130,78413,6,82916,639539,1032269,763183,446003,699397,178504,683224,5,152032,517819
"TCGA-OV",21,706794,74365,755272,15,276795,427360,18896,79,66785,142445,437681,284356,150726,552663,231836,614505,5,100998,317025
"TCGA-OV",199,1504962,31975,1202364,2,61262,735761,219863,1147,2167989,40876,713943,499091,17564,571596,284251,579249,43,199105,890708
"TCGA-OV",131,627024,17477,448171,11,37317,274434,32535,5,51889,17713,322872,181442,10734,224602,192269,285076,6,57374,219335
"TCGA-OV",164,1968646,367382,1466286,27,962806,685972,80255,789,222273,387399,734152,709597,255739,765047,221043,729399,26,453140,495491
"TCGA-OV",22,408868,144762,256728,1,291515,308845,119857,88,24596,96160,294165,177032,66042,109420,110306,128158,1,52417,619695
"TCGA-OV",129,798560,4782,650751,5,60029,331286,101601,494,264695,63867,363937,226688,10386,442438,983241,461875,6,140565,282063
"TCGA-OV",46,1241569,69784,1166172,12,94326,479338,147591,12,277031,45882,755241,648754,24135,396382,593888,361162,0,214272,743965
"TCGA-OV",390,3031869,755786,1688409,590,2637420,1265173,171005,162,112332,807789,1174780,663865,530039,501661,571283,1106862,3,174510,1681948
"TCGA-OV",1683,344913,4367,504415,15,15938,183000,104233,105,856822,20362,244757,132542,2930,213250,242565,244841,14,86718,246620
"TCGA-OV",145,306765,46090,203918,34,210383,167758,79954,67,52797,69227,166719,75967,64134,66752,215016,97958,1,59144,334901
"TCGA-OV",41,846250,71890,761735,35,247315,649580,33630,3,5789,105756,403615,385206,84759,323925,364933,547973,0,139746,231146
"TCGA-OV",290,1333896,256786,731304,8,929568,436739,149113,32,300074,319638,450589,389000,269592,426938,224970,323056,9,214291,818946
"TCGA-OV",8,1080763,6735,1030421,3,33715,1663436,33817,18,16942,21027,812420,901992,22382,660037,346354,981697,2,208401,310316
"TCGA-OV",21,926977,74614,837877,10,72251,548404,31976,9,495278,26507,266608,337291,22627,285230,517562,382525,0,154789,203889
"TCGA-OV",25,653274,106442,598329,12,409162,249590,106037,49,242837,158596,499098,420469,120664,350708,266039,333533,28,106887,664804
"TCGA-OV",34,1626825,22790,971366,2043,194996,784592,39758,7,45417,71894,710554,568803,35202,458842,412300,544848,0,156276,406234
"TCGA-OV",179,2297832,105589,2266083,4,852656,1841914,79032,60,402661,325308,1434794,1807965,241250,1214686,640376,1417085,0,394783,1065025
"TCGA-OV",94,1196506,84573,1028780,33,759863,494831,76857,15,74032,283489,595974,407451,251232,419414,266887,527304,7,199655,471365
"TCGA-OV",18,710630,86976,476833,7,307419,479854,20091,4,6886,106258,260938,364659,82295,188643,351614,245979,4,111303,280213
"TCGA-OV",206,1267471,21123,1044064,11,95516,610810,75558,26,151563,38459,784286,402183,32475,338393,196663,292826,14,159200,371396
"TCGA-OV",28,486991,4576,881368,354,28927,228438,75912,132,107561,15235,601577,259255,6289,440596,558298,284457,19,106708,425431
"TCGA-OV",47,1098063,49178,1220019,1888,219983,525227,66547,545,152967,70443,499994,721124,49117,490412,337953,473424,0,206985,509671
"TCGA-OV",5,780819,6223,603273,0,15433,201728,29663,16,87232,9069,532155,378469,6645,427182,123752,258970,13,137939,312477
"TCGA-OV",18,1201306,31618,1024328,0,197264,414019,107610,11,1416224,100710,777005,562467,72937,579083,295322,976676,120,306057,443601
"TCGA-OV",85,1084921,98469,764285,216,926051,469519,74244,40,60823,291979,537948,370979,322411,341237,359407,415207,0,86183,723774
